Time(hh:mm:ss),Temperature(C),1,2,3,4,5,6,7,8,9,10,11,12,,,,
7:00,37,203.084,200.484,201.013,239.381,250.922,245.063,287.808,322.601,349.046,180.169,188.264,225.201,,,,
,,200.472,197.054,196.642,254.259,229.003,223.802,286.797,280.796,344.979,328.764,310.47,317.519,,,,
,,203.178,201.096,199.333,255.253,214.69,223.893,277.558,311.664,333.933,329.912,313.786,379.568,,,,
,,260.059,213.253,238.465,349.167,285.336,297.24,472.428,447.146,445.613,332.275,352.867,360.086,,,,
,,252.668,233.574,239.491,356.101,292.345,303.696,479.257,424.085,450.591,433.945,340.842,520.998,,,,
,,263.335,234.276,240.148,359.06,285.057,313.795,492.306,468.685,448.982,443.491,435.316,434.393,,,,
,,580.286,558.384,578.094,583.718,559.539,560.77,663.105,746.718,779.05,462.035,425.335,492.218,,,,
,,163.743,158.619,164.356,164.402,164.372,179.084,171.589,184.79,183.935,57.691,55.973,58.349,,,,
,,,,,,,,,,,,,,,,,
8:00,37,205.828,203.261,204.193,249.495,256.83,255.469,300.705,334.019,366.404,178.415,186.342,222.488,,,,
,,202.46,199.369,198.369,259.387,236.239,230.955,298.436,293.338,358.903,339.465,323.013,331.169,,,,
,,196.989,202.046,204.335,263.741,217.59,227.693,285.612,322.55,355.019,343.427,326.991,402.512,,,,
,,271.426,220.515,248.329,368.112,297.996,312.133,502.497,484.579,480.816,342.72,360.533,377.505,,,,
,,263.148,237.947,245.736,369.586,306.062,319.977,512.306,448.202,479.762,459.508,364.246,559.247,,,,
,,269.05,232.644,244.739,390.766,301.438,322.392,521.659,494.003,467.425,471.941,461.58,457.901,,,,
,,614.623,603.095,608.368,619.38,602.66,598.382,723.633,807.176,827.28,490.802,449.321,524.871,,,,
,,163.996,157.51,162.349,161.74,157.575,179.705,171.194,179.711,186.851,57.863,56.043,55.571,,,,
,,,,,,,,,,,,,,,,,
9:00,37,214.976,210.718,212.966,265.127,268.799,261.532,321.934,357.413,392.034,176.857,187.102,217.867,,,,
,,205.291,204.273,207.923,273.084,240.873,240.282,316.977,312.316,382.803,363.805,342.351,353.803,,,,
,,207.432,203.536,210.039,273.984,234.885,236.676,307.326,343.944,368.923,364.963,352.232,428.921,,,,
,,280.894,226.025,262.095,398.573,316.401,327.049,543.378,523.159,510.324,366.885,384.266,408.625,,,,
,,276.933,255.611,258.482,403.521,323.015,331.136,551.971,483.258,518.242,496.049,395.157,604.807,,,,
,,284.029,242.639,252.454,419.484,326.371,349.567,567.589,534.314,506.683,506.292,501.649,506.301,,,,
,,670.223,652.869,666.349,668.346,649.049,644.861,782.74,877.581,903.335,531.776,488.208,572.738,,,,
,,160.251,154.479,166.171,163.461,160.341,177.755,171.697,185.35,183.847,57.836,56.425,56.097,,,,
,,,,,,,,,,,,,,,,,
10:00,37,219.789,213.949,215.125,269.285,278.91,270.77,334.32,373.974,413.199,174.044,186.382,218.591,,,,
,,208.849,209.159,212.532,286.501,252.412,249.041,329.732,323.851,400.999,380.62,356.147,373.252,,,,
,,212.443,205.586,205.344,287.065,243.034,244.425,323.047,359.182,386.323,380.75,366.618,445.694,,,,
,,292.725,238.523,263.716,420.655,336.428,346.376,583.053,552.194,548.3,384.345,404.913,433.484,,,,
,,289.198,258.861,269.071,426.04,339.866,350.57,585.069,528.726,551.532,528.147,419.458,639.065,,,,
,,291.418,253.968,266.113,441.886,334.658,363.533,607.511,565.623,546.534,538.47,525.816,538.203,,,,
,,712.848,696.95,711.564,726.8,692.622,685.155,813.115,928.819,963.046,560.671,521.343,621.465,,,,
,,160.993,158.834,163.929,162.129,163,178.556,169.777,178.829,185.191,57.57,55.776,56.777,,,,
,,,,,,,,,,,,,,,,,
11:00,37,223.522,217.568,220.598,280.853,286.357,281.337,350.369,394.352,427.197,175.285,185.706,216.279,,,,
,,215.349,211.07,212.802,297.221,262.262,253.767,351.545,337.296,421.602,402.191,372.904,398.191,,,,
,,214.131,213.756,216.059,297.846,245.928,251.86,341.693,373.025,410.668,401.907,381.338,477.083,,,,
,,305.017,243.109,274.721,437.152,350.832,366.573,615.503,592.202,578.591,399.801,421.435,452.788,,,,
,,302.175,271.052,277.056,455.941,359.064,371.882,625.869,542.941,593.363,563.945,438.214,687.287,,,,
,,308.738,257.445,280.599,456.161,357.492,379.743,644.71,608.416,562.396,571.567,570.464,562.118,,,,
,,740.32,730.626,752.496,760.746,736.484,733.88,871.214,990.308,1006.926,593.532,549.771,662.031,,,,
,,159.346,155.151,161.822,158.772,160.168,176.467,169.777,177.815,183.796,57.492,54.965,56.831,,,,
,,,,,,,,,,,,,,,,,
12:00,37,230.608,223.285,224.363,294.439,295.522,294.012,372.473,414.282,459.447,176.948,184.881,216.596,,,,
,,225.417,217.685,220.089,305.523,268.506,264.916,368.745,363.801,447.489,421.214,400.944,422.344,,,,
,,223.172,217.2,225.563,310.348,257.147,260.928,355.437,400.299,439.152,431.243,394.275,504.353,,,,
,,325.737,256.554,291.691,474.697,368.187,389.476,651.996,627.104,626.105,417.068,443.677,483.876,,,,
,,320.13,277.998,287.823,485.102,380.028,390.138,666.39,582.677,628.767,602.839,466.973,723.207,,,,
,,319.341,275.653,295.13,492.646,376.121,400.07,677.301,652.665,615.937,606.892,603.568,603.08,,,,
,,792.242,776.621,782.799,803.908,790.539,774.467,924.815,1046.971,1059.126,636.779,591.228,706.007,,,,
,,161.999,155.142,163.016,160.88,163.188,176.774,172.625,179.135,181.997,58.772,55.114,56.687,,,,
,,,,,,,,,,,,,,,,,
13:00,37,235.056,228.699,233.434,305.358,309.186,301.298,392.61,428.987,474.899,175.096,183.276,217.464,,,,
,,224.758,222.81,227.545,321.055,276.331,276.664,390.271,375.026,469.258,444.536,415.399,438.472,,,,
,,228.218,226.179,222.717,325.213,266.831,266.751,370.142,413.773,461,442.466,423.838,529.637,,,,
,,336.922,266.351,300.266,491.94,391.351,398.77,687.975,663.858,654.321,447.324,471.185,505.118,,,,
,,331.528,291.585,300.979,501.378,397.034,413.027,700.374,609.356,657.305,626.961,494.435,760.068,,,,
,,341.437,283.818,297.698,517.838,392.326,420.794,717.51,683.915,646.054,645.544,639.474,637.616,,,,
,,824.25,816.451,829.883,851.642,815.649,809.437,966.733,1094.796,1119.635,667.846,616.041,735.165,,,,
,,159.703,155.805,161.424,160.3,157.962,174.564,165.868,178.373,182.976,57.103,56.514,56.4,,,,
,,,,,,,,,,,,,,,,,
14:00,37,244.315,240.624,238.662,319.966,324.127,310.197,408.113,455.19,507.969,175.942,184.991,214.203,,,,
,,236,231.438,232.786,336.667,295.017,286.16,408.528,397.933,493.044,471.437,443.383,457.172,,,,
,,238.044,232.508,232.643,338.967,279.509,281.221,401.016,442.176,484.706,473.596,441.32,559.468,,,,
,,357.333,272.415,314.245,526.422,413.096,429.439,725.569,696.069,694.976,469.547,491.518,536.854,,,,
,,346.359,302.011,309.672,530.631,417.754,435.78,730.404,651.866,702.667,670.074,526.106,809.209,,,,
,,354.453,296.262,308.363,552.164,412.655,451.981,772.492,729.366,690.887,678.135,667.327,666.606,,,,
,,862.512,852.107,874.49,893.896,860.892,852.21,1003.906,1141.914,1181.048,715.882,656.13,776.169,,,,
,,160.757,155.986,160.041,161.024,161.584,175.538,170.991,178.162,180.214,58.118,54.973,57.57,,,,
,,,,,,,,,,,,,,,,,
15:00,37,250.454,243.488,242.954,332.66,330.369,323.931,429.516,474.399,527.337,174.44,183.816,217.978,,,,
,,241.11,239.202,237.81,347.444,304.304,297.048,436.394,414.637,521.702,494.431,460.412,486.264,,,,
,,242.455,237.946,238.837,350.42,285.56,292.645,427.192,459.948,505.566,489.413,471.796,588.017,,,,
,,370.472,286.312,323.714,554.05,434.623,445.242,767.463,739.155,723.878,492.713,514.022,555.914,,,,
,,361.912,314.602,320.855,561.755,435.696,454.73,776.714,679.969,733.863,709.618,553.344,842.626,,,,
,,368.199,310.253,324.743,570.459,434.918,470.866,791.082,775.672,728.095,709.338,693.43,707.677,,,,
,,887.378,882.893,915.501,930.883,894.688,893.394,1031.619,1188.159,1229.71,748.298,689.599,807.361,,,,
,,159.944,157.602,163.628,161.765,156.501,177.984,172.602,178.835,180.581,57.983,56.161,57.904,,,,
,,,,,,,,,,,,,,,,,
16:00,37,254.008,249.173,244.179,341.982,343.261,334.806,446.824,494.676,547.989,173.192,180.751,216.405,,,,
,,247.147,241.462,240.794,358.939,307.887,306.994,440.976,427.24,543.017,511.427,473.763,500.06,,,,
,,249.745,242.106,243.389,364.164,298.977,302.911,432.94,478.774,518.009,510.316,485.77,606.775,,,,
,,377.583,292.096,334.109,569.596,450.081,459.312,790.884,773.645,760.671,510.684,536.574,584.914,,,,
,,377.237,322.518,336.552,586.247,457.55,461.356,799.676,714.634,771.602,726.979,569.565,886.473,,,,
,,382.515,322.079,333.829,596.551,449.141,483.832,835.409,790.774,739.117,755.966,746.863,722.351,,,,
,,915.797,913.905,940.833,959.855,923.808,914.681,1052.66,1229.973,1265.369,772.263,700.498,844.088,,,,
,,161.325,155.796,161.666,160.453,159.674,173.739,171.666,180.983,182.41,56.601,55.074,55.959,,,,
,,,,,,,,,,,,,,,,,
17:00,37,259.364,255.958,252.642,357.763,361.402,345.177,466.689,518.054,578.127,173.682,183.095,218.248,,,,
,,256.869,249.482,253.959,381.499,320.924,317.745,467.538,448.858,557.975,536.992,505.298,525.194,,,,
,,254.407,250.842,256.12,381.866,312.138,310.587,458.277,502.484,553.117,537.988,500.351,636,,,,
,,393.308,306.607,356.227,600.661,474.039,483.809,826.389,801.252,794.301,535.091,555.527,616.209,,,,
,,391.455,337.244,345.859,612.917,479.427,495.857,836.439,757.275,806.83,765.943,601.38,919.569,,,,
,,395.847,329.672,343.773,635.937,470.973,512.311,868.673,832.816,790.998,781.44,763.003,757.931,,,,
,,955.123,961.558,971.026,1000.375,942.981,946.07,1106.418,1273.257,1314.723,812.299,746.752,886.851,,,,
,,158.692,159.06,162.714,159.641,164.283,180.806,169.17,179.771,182.476,57.643,56.82,56.006,,,,
,,,,,,,,,,,,,,,,,
18:00,37,266.912,258.933,256.969,369.415,364.369,356.412,480.698,533.004,592.823,170.757,179.321,212.825,,,,
,,259.461,249.337,257.767,386.752,332.952,325.713,478.463,467.031,588.142,550.204,518.894,542.049,,,,
,,256.268,255.155,252.766,385.839,319.464,319.788,470.289,516.626,562.562,556.137,510.783,651.289,,,,
,,413.403,309.899,359.075,626.757,482.927,496.836,840.183,833.206,827.281,549.998,572.816,641.997,,,,
,,399.522,350.127,354.37,627.234,495.961,507.399,874.316,771.52,825.447,795.949,611.423,939.37,,,,
,,402.732,336.708,354.349,645.873,478.272,528.538,897.165,871.937,809.418,809.271,797.353,777.448,,,,
,,982.672,964.396,989.253,1020.775,973.615,982.009,1106.151,1295.09,1337.79,845.789,779.447,903.197,,,,
,,156.754,158.155,160.523,161.17,158.3,175.313,169.418,177.357,180.144,57.367,56.877,55.993,,,,
,,,,,,,,,,,,,,,,,
19:00,37,274.323,262.812,271.785,382.382,380.301,366.857,501.817,556.48,614.303,172.914,182.96,215.22,,,,
,,268.288,259.602,262.837,405.895,346.43,339.644,507.809,490.5,619.612,578.572,534.473,564.005,,,,
,,263.497,263.17,265.717,406.33,332.547,328.57,490.85,544.346,587.484,583.76,546.047,684.677,,,,
